City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,4.86,95,80,2.94,CL,1726545706
1,port-aux-francais,-49.35,70.2167,4.43,97,100,14.51,TF,1726545707
2,avarua,-21.2078,-159.775,25.03,78,56,4.12,CK,1726545709
3,minas de marcona,-15.2119,-75.1103,12.3,79,5,3.81,PE,1726545710
4,kingston,17.997,-76.7936,30.53,74,20,6.69,JM,1726545543
5,grand falls-windsor,48.9332,-55.6649,16.95,89,49,4.93,CA,1726545712
6,claveria,18.6074,121.0832,28.86,84,100,5.75,PH,1726545713
7,cockburn town,21.4612,-71.1419,29.09,79,68,9.81,TC,1726545714
8,tazacorte,28.629,-17.9293,21.54,73,20,2.57,ES,1726545715
9,hermanus,-34.4187,19.2345,8.78,85,60,3.79,ZA,1726545716
10,dakhla,23.6848,-15.958,19.62,91,1,6.66,EH,1726545717
11,west island,-12.1568,96.8225,27.99,61,40,7.72,CC,1726545718
12,blackmans bay,-43.0167,147.3167,13.62,55,84,6.49,AU,1726545719
13,papatowai,-46.5619,169.4708,6.22,65,97,6.11,NZ,1726545720
14,wailua homesteads,22.0669,-159.378,27.44,84,100,6.69,US,1726545721
15,adamstown,-25.066,-130.1015,19.55,87,100,8.5,PN,1726545722
16,igarka,67.4667,86.5833,6.91,75,43,5.05,RU,1726545723
17,waitangi,-43.9535,-176.5597,10.46,95,100,1.34,NZ,1726545725
18,atafu village,-8.5421,-172.5159,28.41,70,18,2.54,TK,1726545727
19,sao tome,0.3365,6.7273,25.15,88,99,5.11,ST,1726545728
20,anadyr,64.75,177.4833,9.28,87,75,2.0,RU,1726545729
21,hamilton,39.1834,-84.5333,22.08,54,0,3.6,US,1726545730
22,sillanwali,31.8261,72.5398,32.39,34,0,2.84,PK,1726545731
23,iqaluit,63.7506,-68.5145,2.85,86,100,8.75,CA,1726545732
24,tuscaloosa,33.2098,-87.5692,21.88,71,100,0.0,US,1726545733
25,fagaras,45.85,24.9667,8.95,84,21,1.86,RO,1726545734
26,al qusayr,34.5091,36.5798,19.67,65,0,1.92,SY,1726545735
27,whitehorse,60.7161,-135.0538,8.43,79,75,4.63,CA,1726545736
28,bilibino,68.0546,166.4372,0.89,77,100,1.18,RU,1726545737
29,belogorsk,50.9158,128.4611,18.77,23,0,9.75,RU,1726545738
30,isafjordur,66.0755,-23.124,4.31,96,100,2.11,IS,1726545740
31,sitka,57.0531,-135.33,11.26,86,100,0.99,US,1726545741
32,geraldton,-28.7667,114.6,28.23,21,0,7.72,AU,1726545742
33,grytviken,-54.2811,-36.5092,-2.85,72,18,4.65,GS,1726545743
34,edinburgh of the seven seas,-37.0676,-12.3116,10.23,73,35,15.77,SH,1726545744
35,vadso,70.0744,29.7487,9.09,76,0,3.09,NO,1726545745
36,margaret river,-33.95,115.0667,18.19,56,0,3.12,AU,1726545746
37,cole harbour,44.6724,-63.4751,17.71,73,0,3.6,CA,1726545747
38,east london,-33.0153,27.9116,15.52,94,75,1.03,ZA,1726545748
